xue4	x ve4
dou3	d ou3
lou4	l ou4
du5	d u5
lin5	l i5 n
chang2	ch a2 ng
heng4	h e4 ng
fou3	f ou3
zhuan1	zh ua1 n
xuan2	x va2 n
nai2	n ai2
ding2	d i2 ng
geng1	g e1 ng
mai5	m ai5
tong2	t o2 ng
bei2	b ei2
yuan3	va3 n
chu5	ch u5
sa2	s a2
dianr2	d ia1 r
lin4	l i4 n
zhong2	z h o2 ng
kun2	k ue2 n
renr4	r e1 r
ming5	m i5 ng
mi3	m i3
zhong1	zh o1 ng
mai4	m ai4
cu4	c u4
en4	e4 n
ku2	k u2
di5	d i5
gua4	g ua4
hen3	h e3 n
jia5	j ia5
luo1	l uo1
wei3	uei3
que2	q ve2
she2	sh e2
cai5	c ai5
yin3	i3 n
yi1	i1
an3	a3 n
bin4	b i4 n
chan4	ch a4 n
zhen1	zh e1 n
dun1	d ue1 n
shu3	sh u3
nan1	n a1 n
mo2	m o2
liao4	l iao4
shu4	sh u4
cao1	c ao1
cu1	c u1
ti5	t i5
shun2	s h ue2 n
teng2	t e2 ng
ju3	j v3
dong3	d o3 ng
biao2	b iao2
lian2	l ia2 n
lin1	l i1 n
ma4	m a4
luan2	l ua2 n
huang5	h ua5 ng
lv2	l v2
jir1	j r n
daor4	d r
ze2	z e2
si2	s i2
liang5	l ia5 ng
ming3	m i3 ng
lia3	l ia3
me5	m e5
zhai2	zh ai2
jian2	j a2 n
dun4	d ue4 n
jun5	j ue5 n
jing3	j i3 ng
wa1	ua1
pin1	p i1 n
du2	d u2
pian2	p ia2 n
bai2	b ai2
gen4	g e4 n
lie1	l ie1
bo1	b o1
jie3	j ie3
tian1	t ia1 n
shi2	sh ii2
shuan4	sh ua4 n
shu5	sh u5
gang2	g a2 ng
nian4	n ia4 n
dang3	d a3 ng
qiang3	q ia3 ng
gui2	g uei2
zuan1	z ua1 n
ni1	n i1
tuo2	t uo2
heng5	h e5 ng
die5	d ie5
yin4	i4 n
tour2	t r
sang1	s a1 ng
ben3	b e3 n
ba1	b a1
wei1	uei1
zi3	z ii3
di3	d i3
can3	c a3 n
you4	iou4
zhu2	zh u2
lu5	l u5
chu1	ch u1
qin5	q i5 n
liang4	l ia4 ng
zhou2	zh ou2
ran3	r a3 n
mi2	m i2
ang1	a1 ng
chong2	ch o2 ng
jingr3	j i5 g r
her2	h e2 r
huai4	h uai4
ren3	r e3 n
piao4	p iao4
guan4	g ua4 n
ge3	g e3
dian4	d ia4 n
kun4	k ue4 n
chu3	ch u3
gong4	g o4 ng
luan4	l ua4 n
chuan3	ch ua3 n
mian2	m ia2 n
gai3	g ai3
ti4	t i4
tiao3	t iao3
zu2	z u2
hui3	h uei3
zhong4	zh o4 ng
xin4	x i4 n
shi3	sh ii3
long4	l o4 ng
pang1	p a1 ng
sa1	s a1
fen2	f e2 n
xiong1	x io1 ng
peng3	p e3 ng
bang5	b a5 ng
shui2	sh uei2
pi4	p i4
xuan3	x va3 n
wu2	u2
nian3	n ia3 n
ou1	ou1
xie2	x ie2
cai1	c ai1
huang3	h ua3 ng
ai5	ai5
mu4	m u4
shan1	sh a1 n
tao5	t ao5
hua5	h ua5
huai2	h uai2
fen3	f e3 n
tang4	t a4 ng
lai4	l ai4
tu4	t u4
cong5	c o5 ng
nei4	n ei4
sa5	s a5
nong4	n o4 ng
hong1	h o1 ng
tie2	t e2
bang1	b a1 ng
chong1	ch o1 ng
bo5	b o5
meng1	m e1 ng
su2	s u2
qian2	q ia2 n
ger3	g e3 r
zhao4	zh ao4
lang3	l a3 ng
jun4	j v4 n
su4	s u4
lou1	l ou1
rui3	r uei3
chan3	ch a3 n
nang2	n a2 ng
zha1	zh a1
huo3	h uo3
pan1	p a1 n
jie5	j ie5
yi2	i2
ba5	b a5
ceng1	c e1 ng
ren4	r e4 n
bao4	b ao4
lun4	l ue4 n
yi5	i5
bie4	b ie4
sou4	s ou4
sai5	s ai5
