ju5	j v5
shan4	sh a4 n
tang1	t a1 ng
wo1	uo1
yong5	o5 ng
shen5	sh e5 n
an1	a1 n
da4	d a4
zhe1	zh e1
he4	h e4
ni4	n i4
mei4	m ei4
nu3	n u3
tao2	t ao2
piao1	p iao1
he5	h e5
zhi3	zh ii3
tong1	t o1 ng
wan2	ua2 n
chao3	ch ao3
hang2	h a2 ng
sang3	s a3 ng
ti2	t i2
yin3	i3 n
re3	r e3
wo2	o2
tuo1	t uo1
si4	s ii4
jia2	j ia2
liu4	l iu4
gang3	g a3 ng
di1	d i1
chuang2	ch ua2 ng
zhang4	zh a4 ng
qiu2	q iu2
zang4	z a4 ng
kong2	k o2 ng
ai1	ai1
shi1	sh ii1
shi3	sh ii3
tian1	t ia1 n
gua3	g ua3
pei1	p ei1
za2	z a2
qu2	q v2
ran2	r a2 n
si1	s ii1
san3	s a3 n
cui1	c uei1
ta4	t a4
yi2	i2
bo5	b o5
chu1	ch u1
dei3	d ei3
fei1	f ei1
guan3	g ua3 n
tao5	t ao5
an4	a4 n
xu3	x v3
mai2	m ai2
sai4	s ai4
zun1	z ue1 n
gong4	g o4 ng
ne5	n e5
fang2	f a2 ng
sui2	s uei2
kuang1	k ua1 ng
sheng4	sh e4 ng
hao2	h ao2
yun2	v2 n
deng1	d e1 ng
sang4	s a4 ng
zhu5	zh u5
bi1	b i1
tu2	t u2
min2	m i2 n
ma5	m a5
diao1	d iao1
tun1	t ue1 n
shou4	sh ou4
qiao4	q iao4
ken3	k e3 n
wa4	ua4
du3	d u3
dun1	d ue1 n
pu3	p u3
jiang3	j ia3 ng
ni3	n i3
hun2	h ue2 n
bang4	b a4 ng
sa3	s a3
tun2	t ue2 n
chou4	ch ou4
lao1	l ao1
gui1	g uei1
luo4	l uo4
miao2	m iao2
wai4	uai4
niang5	n ia5 ng
fan4	f a4 n
ruo4	r uo4
ya1	ia1
yang4	ia4 ng
zhong3	zh o3 ng
man3	m a3 n
rou4	r ou4
ling2	l i2 ng
sao3	s ao3
nin2	n i2 n
po5	p o5
gen1	g e1 n
hou2	h ou2
liang2	l ia2 ng
le4	l e4
chai2	ch ai2
cou4	c ou4
zai4	z ai4
jiao1	j iao1
ji3	j i3
xi1	x i1
fang4	f a4 ng
yao2	iao2
zha4	zh a4
hao4	h ao4
yu3	v3
pin3	p i3 n
zuo3	z uo3
kui2	k uei2
mian5	m ia5 n
piao5	p ao5
kai1	k ai1
nuo4	n uo4
da3	d a3
pa1	p a1
ya3	ia3
gei2	g ei2
chang2	ch a2 ng
jiang4	j ia4 ng
sou5	s ou5
fan2	f a2 n
guan1	g ua1 n
reng1	r e1 ng
tao4	t ao4
gei3	g ei3
yi3	i3
bian4	b ia4 n
ge2	g e2
ceng2	c e2 ng
jing1	j i1 ng
ming2	m i2 ng
en1	e1 n
miu4	m iu4
yong3	io3 ng
xie4	x ie4
qu3	q v3
fei2	f ei2
ku3	k u3
gan5	g a5 n
jiao3	j iao3
chuang3	ch ua3 ng
zhao3	zh ao3
kan5	k a5 n
jian4	j ia4 n
shuai3	sh uai3
xia2	x ia2
du1	d u1
shan1	sh a1 n
xuan1	x va1 n
hen2	h e2 n
na4	n a4
zong3	z o3 ng
yong1	io1 ng
yang2	ia2 ng
gai1	g ai1
men2	m e2 n
pi1	p i1
ning4	n i4 ng
que4	q ve4
nuo2	n uo2
lang3	l a3 ng
quan4	q va4 n
bian5	b ia5 n
kang4	k a4 ng
shui3	sh uei3
qiao1	q iao1
wang3	ua3 ng
huo3	h uo3
can3	c a3 n
cuan4	c ua4 n
mei3	m ei3
rong2	r o2 ng
ka2	k a2
chou5	ch ou5
zhong1	zh o1 ng
fa5	f a5
zhang3	zh a3 ng
rao4	r ao4
zhen4	zh e4 n
wang5	ua5 ng
zi3	z ii3
huo4	h uo4
deng3	d e3 ng
peng2	p e2 ng
diao5	d ao5
li3	l i3
hun4	h ue4 n
lv2	l v2
dian2	d ia2 n
xie3	x ie3
zhao4	zh ao4
jie5	j ie5
dian4	d ia4 n
tang4	t a4 ng
biao2	b iao2
zhang2	z h a2 ng
lu3	l u3
zen3	z e3 n
wa5	ua5
pu4	p u4
pao3	p ao3
wu2	u2
rong5	r o5 ng
ka1	k a1
ao2	ao2
yu5	u5
fu5	f u5
kuang2	k ua2 ng
yun3	v3 n
dai5	d ai5
shan3	sh a3 n
pan1	p a1 n
chuang1	ch ua1 ng
zhui4	zh uei4
shuang1	sh ua1 ng
hui4	h uei4
fen4	f e4 n
mao4	m ao4
ba1	b a1
yuan4	va4 n
chan2	ch a2 n
cao2	c ao2
xiang1	x ia1 ng
hu1	h u1
chu2	ch u2
jia1	j ia1
run4	r ue4 n
wei1	uei1
qian4	q ia4 n
niao3	n iao3
zuo2	z uo2
qin5	q i5 n
shu1	sh u1
qia5	q a5
qu1	q v1
shu4	sh u4
tui4	t uei4
mi2	m i2
qiu1	q iu1
dan4	d a4 n
xue2	x ve2
gu4	g u4
si3	s ii3
tu3	t u3
ru2	r u2
lian2	l ia2 n
wai1	uai1
lang1	l a1 ng
chao2	ch ao2
tuo4	t uo4
sheng3	sh e3 ng
ne4	n e4
kou4	k ou4
dong3	d o3 ng
lie4	l ie4
yuan2	va2 n
mei2	m ei2
wu4	u4
pi2	p i2
xu1	x v1
pan4	p a4 n
qu5	q v5
ang1	a1 ng
nai4	n ai4
zhua1	zh ua1
bing1	b i1 ng
sao1	s ao1
xian2	x ia2 n
cheng1	ch e1 ng
ji2	j i2
long5	l o5 ng
hua4	h ua4
zhuan4	zh ua4 n
qia3	q ia3
weng5	ue4 ng
ou3	ou3
hen4	h e4 n
bei2	b ei2
qiao3	q iao3
cai4	c ai4
shen2	sh e2 n
bei1	b ei1
beng4	b e4 ng
fo2	f o2
zou4	z ou4
qiang2	q ia2 ng
yu4	v4
pin1	p i1 n
heng1	h e1 ng
shen1	sh e1 n
lv3	l v3
pu2	p u2
guai4	g uai4
pi4	p i4
qing4	q i4 ng
jian1	j ia1 n
pi3	p i3
yang5	a5 ng
lai5	l ai5
leng4	l e4 ng
suan1	s ua1 n
fu3	f u3
tian2	t ia2 n
bao1	b ao1
qin1	q i1 n
gua1	g ua1
zhan2	z h a2 n
lou3	l ou3
cong1	c o1 ng
qi1	q i1
lang4	l a4 ng
bai4	b ai4
ru3	r u3
juan3	j va3 n
xiu4	x iu4
zhou3	zh ou3
qin2	q i2 n
ya4	ia4
zeng1	z e1 ng
yan1	ia1 n
mao2	m ao2
guai1	g uai1
er2	e2 r
shen4	sh e4 n
pian5	p ia5 n
sui4	s uei4
tan3	t a3 n
jin3	j i3 n
ceng1	c e1 ng
jie3	j ie3
ping2	p i2 ng
sen1	s e1 n
la3	l a3
tie2	t e2
la2	l a2
cheng5	ch e5 ng
ming4	m i4 ng
jiu1	j iu1
guang1	g ua1 ng
hei1	h ei1
la1	l a1
shou3	sh ou3
hou5	h ou5
liao3	l iao3
me5	m e5
yao3	iao3
pin2	p i2 n
xiao3	x iao3
guai3	g uai3
shan2	s h a2 n
sheng2	sh e2 ng
zhu4	zh u4
gui2	g uei2
ji5	j i5
nao5	n ao5
zui4	z uei4
xin1	x i1 n
su5	s u5
a1	a1
seng1	s e1 ng
huang3	h ua3 ng
wen4	ue4 n
jiong3	j io3 ng
kun3	k ue3 n
kuai4	k uai4
han3	h a3 n
san1	s a1 n
kao3	k ao3
tiao4	t iao4
xu2	x v2
zhi5	zh ii5
tou5	t ou5
pei4	p ei4
bu2	b u2
men5	m e5 n
mu4	m u4
duo2	d uo2
xue3	x ve3
kuan3	k ua3 n
pen2	p e2 n
gu2	g u2
chuo4	ch uo4
lei4	l ei4
nu4	n u4
rui2	r uei2
qie4	q ie4
niang2	n ia2 ng
chen2	ch e2 n
huan3	h ua3 n
shi5	sh ii5
chong2	ch o2 ng
lun4	l ue4 n
lang5	l a5 ng
bi4	b i4
xiang3	x ia3 ng
tuan2	t ua2 n
tie3	t ie3
chong3	ch o3 ng
chen4	ch e4 n
shuo4	sh uo4
gui4	g uei4
zha3	zh a3
luan3	l ua3 n
kuo4	k uo4
chun1	ch ue1 n
qu4	q v4
pang2	p a2 ng
mo2	m o2
ban3	b a3 n
ju2	j v2
zi1	z ii1
kuan1	k ua1 n
pu1	p u1
guo3	g uo3
geng4	g e4 ng
gong3	g o3 ng
ang2	a2 ng
lang2	l a2 ng
ba4	b a4
xian4	x ia4 n
sun3	s ue3 n
fan5	f a5 n
shuan1	sh ua1 n
nao4	n ao4
pa4	p a4
gou3	g ou3
ha1	h a1
pie3	p ie3
zhan4	zh a4 n
lan4	l a4 n
ou1	ou1
zhou4	zh ou4
gan4	g a4 n
yin1	i1 n
hui1	h uei1
liu1	l iu1
xian3	x ia3 n
zhao2	zh ao2
gu3	g u3
kao4	k ao4
guo4	g uo4
gan1	g a1 n
cuo1	c uo1
nian4	n ia4 n
ke3	k e3
he1	h e1
leng2	l e2 ng
wen1	ue1 n
liang3	l ia3 ng
mo5	m o5
qin4	q i4 n
mu2	m u2
you4	iou4
luan4	l ua4 n
rang3	r a3 ng
fa2	f a2
ci4	c ii4
ri4	r ii4
dao4	d ao4
sui1	s uei1
sang1	s a1 ng
zhen3	zh e3 n
ban4	b a4 n
que1	q ve1
huan1	h ua1 n
teng2	t e2 ng
zhang1	zh a1 ng
quan2	q va2 n
wan1	ua1 n
shen3	sh e3 n
pa2	p a2
zao3	z ao3
fen2	f e2 n
lv5	l n
tuo2	t uo2
nang2	n a2 ng
fang1	f a1 ng
lu2	l u2
ning2	n i2 ng
san4	s a4 n
wen3	ue3 n
chang1	ch a1 ng
fen5	f e5 n
lia3	l ia3
zei2	z ei2
cai2	c ai2
jie2	j ie2
lao2	l ao2
zhou1	zh ou1
miao4	m iao4
ge4	g e4
peng3	p e3 ng
te4	t e4
guang2	g ua2 ng
pang4	p a4 ng
se4	s e4
gou1	g ou1
yun4	v4 n
reng2	r e2 ng
pao2	p ao2
rao2	r ao2
er5	e5 r
nong4	n o4 ng
ju1	j v1
pei2	p ei2
dao3	d ao3
po1	p o1
dang4	d a4 ng
zhuo2	zh uo2
cai3	c ai3
tao1	t ao1
shang4	sh a4 ng
geng1	g e1 ng
meng4	m e4 ng
nv2	n v2
nie1	n ie1
nei3	n ei3
cao3	c ao3
zang1	z a1 ng
ni2	n i2
ying5	i5 ng
qin3	q i3 n
chan4	ch a4 n
jie4	j ie4
mu3	m u3
jiao2	j iao2
liang5	l ia5 ng
wu1	u1
na2	n a2
zhao1	zh ao1
huo2	h uo2
bi3	b i3
zhuan2	zh ua2 n
cun2	c ue2 n
du2	d u2
dou4	d ou4
zai1	z ai1
nian2	n ia2 n
pao4	p ao4
xiong1	x io1 ng
cha2	ch a2
rou2	r ou2
mu5	m u5
long2	l o2 ng
xing5	x i5 ng
chui5	ch uei5
wei3	uei3
gu1	g u1
ya2	ia2
dui4	d uei4
hou4	h ou4
xiang2	x ia2 ng
lu5	l u5
pa5	p a5
yong4	io4 ng
kan1	k a1 n
zao4	z ao4
le5	l e5
zha1	zh a1
zu3	z u3
ba2	b a2
jun4	j v4 n
li2	l i2
ye1	ie1
nong2	n o2 ng
qing1	q i1 ng
zhan3	zh a3 n
qie2	q ie2
yi5	i5
tang2	t a2 ng
bu3	b u3
gan3	g a3 n
chou2	ch ou2
wan4	ua4 n
shai4	sh ai4
cun4	c ue4 n
jiu4	j iu4
ti3	t i3
nai5	n ai5
diu1	d iu1
niao2	n iao2
che3	ch e3
yin4	i4 n
zhe4	zh e4
zhe2	zh e2
ji1	j i1
suo1	s uo1
da2	d a2
nv3	n v3
yin2	i2 n
li4	l i4
wang1	ua1 ng
leng3	l e3 ng
ben1	b e1 n
bang3	b a3 ng
xue4	x ve4
xi5	x i5
luo2	l uo2
kui4	k uei4
ba3	b a3
you3	iou3
jiang1	j ia1 ng
yang1	ia1 ng
xing1	x i1 ng
qiao2	q iao2
zhong2	z h o2 ng
ba5	b a5
xiu3	x iu3
bao2	b ao2
meng3	m e3 ng
la5	l a5
nve4	n ve4
miao3	m iao3
niu3	n iu3
dou3	d ou3
wang4	ua4 ng
tan2	t a2 n
zhui1	zh uei1
re4	r e4
xia4	x ia4
cong2	c o2 ng
xing3	x i3 ng
ping1	p i1 ng
ting2	t i2 ng
wan5	ua5 n
nei4	n ei4
chun2	ch ue2 n
suo2	s uo2
di4	d i4
chuan4	ch ua4 n
ai4	ai4
kua4	k ua4
ju3	j v3
ye3	ie3
ru4	r u4
liao2	l iao2
bo3	b o3
tou1	t ou1
zong1	z o1 ng
xuan4	x va4 n
fa1	f a1
huang1	h ua1 ng
duan4	d ua4 n
zhu3	zh u3
lan2	l a2 n
ao4	ao4
zhen1	zh e1 n
nu2	n u2
chong1	ch o1 ng
gua4	g ua4
xiao2	x iao2
wa2	ua2
tuo3	t uo3
dong4	d o4 ng
qia4	q ia4
jing2	j i2 ng
xing2	x i2 ng
wu3	u3
bo1	b o1
hong1	h o1 ng
bai5	b ai5
hui2	h uei2
ju4	j v4
wan3	ua3 n
bu4	b u4
sha1	sh a1
ran3	r a3 n
po4	p o4
xuan2	x va2 n
liang4	l ia4 ng
zhuan1	zh ua1 n
xun1	x v1 n
jie1	j ie1
gong1	g o1 ng
zi4	z ii4
za1	z a1
song4	s o4 ng
xiong5	x io5 ng
ca1	c a1
ci2	c ii2
kang2	k a2 ng
guang3	g ua3 ng
jun1	j v1 n
piao4	p iao4
fou3	f ou3
shi4	sh ii4
she4	sh e4
you5	ou5
shuang3	sh ua3 ng
you1	iou1
fu2	f u2
tu1	t u1
jiao4	j iao4
fen1	f e1 n
mai3	m ai3
deng4	d e4 ng
huai2	h uai2
ren4	r e4 n
lun2	l ue2 n
nai3	n ai3
kui1	k uei1
li5	l i5
pian1	p ia1 n
fei3	f ei3
e2	e2
zhuo1	zh uo1
qi3	q i3
kai3	k ai3
guo2	g uo2
mo4	m o4
chu4	ch u4
mei5	m ei5
chang4	ch a4 ng
che1	ch e1
bin1	b i1 n
pan2	p a2 n
chuo1	ch uo1
chou1	ch ou1
hao3	h ao3
chu3	ch u3
shao3	sh ao3
zan2	z a2 n
jin2	j n
mie4	m ie4
keng1	k e1 ng
feng4	f e4 ng
dong1	d o1 ng
ze2	z e2
yi1	i1
lao4	l ao4
cang1	c a1 ng
sai1	s ai1
zuo4	z uo4
shao1	sh ao1
zhen2	z h e2 n
huai4	h uai4
beng1	b e1 ng
sha2	sh a2
ling3	l i3 ng
qi2	q i2
qia1	q ia1
shu2	sh u2
nang5	n a5 ng
she2	sh e2
ben4	b e4 n
bie2	b ie2
cha4	ch a4
wei2	uei2
ting1	t i1 ng
xi2	x i2
guan4	g ua4 n
hui3	h uei3
sou1	s ou1
duo4	d uo4
ning3	n i3 ng
dao1	d ao1
yong2	io2 ng
rui4	r uei4
gui3	g uei3
qing3	q i3 ng
zuan1	z ua1 n
tou4	t ou4
dui1	d uei1
tu4	t u4
tiao3	t iao3
shou1	sh ou1
gai2	g ai2
er3	e3 r
yang3	ia3 ng
chuan2	ch ua2 n
mou3	m ou3
ye5	ie5
xue1	x ve1
hu4	h u4
can1	c a1 n
tan4	t a4 n
yao5	ao5
chang3	ch a3 ng
lei2	l ei2
ke1	k e1
qie3	q ie3
zuan4	z ua4 n
nan2	n a2 n
bo2	b o2
lei3	l ei3
biao3	b iao3
shang5	sh a5 ng
tong5	t o5 ng
huan2	h ua2 n
chi4	ch ii4
guan2	g ua2 n
lou4	l ou4
ken2	k e2 n
xian1	x ia1 n
duo1	d uo1
bai3	b ai3
jia3	j ia3
shui4	sh uei4
nao3	n ao3
lie3	l ie3
pen1	p e1 n
si2	s i2
geng3	g e3 ng
tai1	t ai1
kong3	k o3 ng
jin4	j i4 n
shun4	sh ue4 n
feng1	f e1 ng
nan4	n a4 n
han4	h a4 n
cao1	c ao1
jing5	j i5 ng
yan4	ia4 n
ji4	j i4
huan4	h ua4 n
pai2	p ai2
zu2	z u2
pie2	p e2
du5	d u5
bang2	b a2 ng
kong1	k o1 ng
